,p_id,score,num_comments,p_timestamp,direct_reply_comments,direct_comments_proportion,median_direct_reply_time,min_reply_time,P_Sent_Neg,P_Sent_Neu,P_Sent_Pos,P_Sent_Com,median_comment_length,C_Sent_Neg,C_Sent_Neu,C_Sent_Pos,C_Sent_Com,Diff_Sent_Neg,Diff_Sent_Neu,Diff_Sent_Pos,Diff_Sent_Com,C_Neg_Feelings,C_Suicide_Act,C_Goal,C_Medical,C_FPS,P_Neg_Feelings,P_Suicide_Act,P_Goal,P_Medical,P_FPS
35,dzrnp4,2,0,2019-11-22 01:00:08,,0.0,,,0.193,0.584,0.223,0.9795,1.0,0.0,1.0,0.0,0.0,-0.193,0.41600000000000004,-0.223,-0.9795,0.0,0.0,0.0,0.0,0.0,0.1083969465648855,0.08702290076335878,0.10076335877862595,0.0900763358778626,0.11603053435114503
36,dzrizf,2,3,2019-11-22 00:50:40,2.0,0.6666666666666666,4.775,1.85,0.121,0.706,0.17299999999999996,0.20519999999999997,15.0,0.182,0.387,0.385,0.3612,0.061,-0.31899999999999995,0.21200000000000005,0.15600000000000006,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
37,dzo1ni,4,0,2019-11-21 21:02:06,,0.0,,,0.075,0.813,0.113,0.0772,1.0,0.0,1.0,0.0,0.0,-0.075,0.18700000000000006,-0.113,-0.0772,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.13333333333333333
38,dzrfwf,2,0,2019-11-22 00:44:26,,0.0,,,0.583,0.417,0.0,-0.7184,1.0,0.0,1.0,0.0,0.0,-0.583,0.583,0.0,0.7184,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
39,dzrfa8,2,18,2019-11-22 00:43:19,3.0,0.16666666666666666,3.4166666666666665,0.8833333333333333,0.0,1.0,0.0,0.0,12.5,0.16799999999999998,0.502,0.216,0.0378,0.16799999999999998,-0.498,0.216,0.0378,0.075,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,dzr9ml,2,0,2019-11-22 00:33:04,,0.0,,,0.147,0.619,0.235,0.9953,1.0,0.0,1.0,0.0,0.0,-0.147,0.381,-0.235,-0.9953,0.0,0.0,0.0,0.0,0.0,0.022132796780684104,0.002012072434607646,0.002012072434607646,0.0,0.0
41,dzr7bi,2,0,2019-11-22 00:28:36,,0.0,,,0.381,0.405,0.214,-0.7278,1.0,0.0,1.0,0.0,0.0,-0.381,0.595,-0.214,0.7278,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.16666666666666666
42,dzr6bq,2,14,2019-11-22 00:26:39,5.0,0.35714285714285715,23.15,9.783333333333333,0.278,0.5389999999999999,0.183,-0.9900000000000001,27.5,0.1735,0.5555000000000001,0.156,-0.1269,-0.10450000000000004,0.01650000000000018,-0.026999999999999996,0.8631000000000001,0.1213235294117647,0.05115089514066496,0.13958333333333334,0.07107843137254902,0.1,0.1490066225165563,0.12251655629139073,0.11920529801324503,0.12582781456953643,0.12582781456953643
43,dzr3sp,2,10,2019-11-22 00:21:51,5.0,0.5,5.766666666666667,2.3,0.0,0.0,1.0,0.40190000000000003,5.0,0.0,0.558,0.3035,0.0644,0.0,0.558,-0.6965,-0.3375,0.08333333333333333,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,dznmik,4,4,2019-11-21 20:33:53,2.0,0.5,7.858333333333333,7.283333333333333,0.242,0.661,0.096,-0.9455,62.0,0.084,0.722,0.1365,0.3022,-0.15799999999999997,0.06099999999999994,0.04050000000000001,1.2477,0.17424242424242425,0.07413419913419914,0.13528138528138528,0.07413419913419914,0.10101010101010101,0.1366906474820144,0.1223021582733813,0.12949640287769784,0.12949640287769784,0.17985611510791366
45,dzlnnu,6,2,2019-11-21 18:21:24,1.0,0.5,59.1,59.1,0.326,0.514,0.16,-0.9862,46.0,0.161,0.5095000000000001,0.32999999999999996,0.6615500000000001,-0.165,-0.0044999999999999485,0.16999999999999996,1.64775,0.10101010101010101,0.05555555555555555,0.10101010101010101,0.0968013468013468,0.05555555555555555,0.15827338129496402,0.15827338129496402,0.15827338129496402,0.12949640287769784,0.14388489208633093
46,dzr21o,2,4,2019-11-22 00:18:33,3.0,0.75,34.916666666666664,10.333333333333334,0.255,0.528,0.217,-0.6862,13.0,0.0,0.526,0.278,0.3818,-0.255,-0.0020000000000000018,0.061000000000000026,1.068,0.125,0.0,0.09375,0.0,0.0,0.10884353741496598,0.07482993197278912,0.08843537414965986,0.06802721088435375,0.06802721088435375
47,dzmimf,6,7,2019-11-21 19:19:30,6.0,0.8571428571428571,44.36666666666667,4.866666666666667,0.0,0.0,0.0,0.0,8.0,0.0,0.551,0.231,0.2023,0.0,0.551,0.231,0.2023,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,dzow5p,3,2,2019-11-21 21:57:53,1.0,0.5,37.233333333333334,37.233333333333334,0.327,0.48,0.193,-0.9944,69.5,0.20600000000000002,0.5455,0.248,0.08574999999999999,-0.121,0.0655,0.05499999999999999,1.08015,0.1324561403508772,0.07280701754385965,0.16578947368421054,0.11578947368421053,0.10263157894736842,0.1596244131455399,0.13615023474178403,0.1267605633802817,0.13615023474178403,0.1596244131455399
49,dzos07,3,0,2019-11-21 21:50:30,,0.0,,,0.265,0.587,0.148,-0.9703,1.0,0.0,1.0,0.0,0.0,-0.265,0.41300000000000003,-0.148,0.9703,0.0,0.0,0.0,0.0,0.0,0.1986754966887417,0.12582781456953643,0.1456953642384106,0.1390728476821192,0.1390728476821192
